Unknown IDS references in BCS & BS files
Number of hits: 411
File: NWMAGE1.bcs, Line: 301, Error: 0 not found in SPELL.IDS
File: NWMAGE1.bcs, Line: 302, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 82, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 103, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 160, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 161, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 162, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 163, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 164, Error: 0 not found in SPELL.IDS
File: NWMELEE.bcs, Line: 165, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 17, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 18, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 19, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 20, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 21, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 22, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 36, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 37, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 38, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 297, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 298, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 299, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 300, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 301, Error: 0 not found in SPELL.IDS
File: NWMG18A.bcs, Line: 302, Error: 0 not found in SPELL.IDS
File: NWMIN1A.bcs, Line: 92, Error: 0 not found in SPELL.IDS
File: NWMIN1A.bcs, Line: 112, Error: 0 not found in SPELL.IDS
File: NWMIN1A.bcs, Line: 169, Error: 0 not found in SPELL.IDS
File: NWMIN1A.bcs, Line: 170, Error: 0 not found in SPELL.IDS
File: NWMIN1A.bcs, Line: 171, Error: 0 not found in SPELL.IDS
